,score
13905,18
12156,2
12422,4
24259,203
10135,569
16277,2
14980,300
27755,7
29406,2
1036,2
28137,0
34819,1222
3537,17
32569,5
21720,23
5988,1
30016,1
7928,66
21305,43
2216,34
17819,2
8346,16
35719,10
14094,8
8082,2
1447,2
14336,13
12207,2
3338,16
8314,1
4394,4
5476,3
8847,5
29454,0
19053,173
8060,0
11060,211
35670,2716
14962,16
35933,1
24624,26
6311,2
34777,3
10701,3
33365,0
4074,4
21163,9
8740,3
5765,1
22599,0
5145,0
31971,1
34676,16
27761,6
26224,272
7503,2
22997,3
8618,7
21301,566
25206,49
20616,12
34235,6
19932,20
20677,23
31842,0
97,30
2440,7
15617,20
2405,9
16110,10
3456,0
30988,0
18703,1
11399,136
36525,43
26939,295
8112,2
8437,15
14185,0
27219,1
614,3
29309,2
10215,0
1590,4
29384,2
24198,0
35388,15
16052,17
18226,1
8174,2
29171,1
16553,2
12949,0
6985,1
27266,48
18865,2
25567,2
17002,6
34580,2
5459,29
28189,159
15121,1
14454,145
1874,2
4377,29
32445,4
7429,1
3914,9
15311,1
24580,117
24444,240
316,1
17793,11
12078,16
11581,266
13641,11
12890,19
9248,1
6892,148
27054,8
22156,30
8392,0
23367,137
25350,0
25185,2
36180,6
27897,7
5477,0
20493,218
7331,5
32838,4
23640,14
32528,0
33749,42
26332,27
24570,14
20426,199
21885,0
31450,1
3726,56
23669,0
19966,3612
8641,5
19854,67
15509,1
17359,0
18528,3
3065,4
6833,0
6206,2
27697,5
11141,0
10637,15
6165,2
21289,38
33585,9
23006,0
22364,0
7798,1
6730,0
22163,1
21650,75
24018,0
31369,1
27397,39
35301,9
23791,29
893,12
24827,17
34495,4
18564,2
27337,4
3281,7
7932,12
2175,0
15177,2
7646,25
24033,515
20972,83
21784,3
34402,1
22447,227
24071,12
19853,23
4415,6
34551,14
35667,10
19262,4
35277,3
4000,2
1728,0
30878,2
30055,1
30465,1
20609,7
29738,1
22409,47
29286,1
17882,1
15373,2
5041,4
13581,74
27866,7
30257,1
13717,3
34453,3
20482,91
7217,2
29401,1
35413,5
21247,1
19268,502
28497,5
32244,0
28634,1
29978,1
22580,75
27501,16
9828,0
5458,0
4660,15
8481,8
32449,1
22499,0
21395,141
23300,19
28340,18
11157,0
23445,1500
9057,4
27955,8
10756,585
1615,206
15611,0
1916,16
32599,1170
36507,14
36206,3
26371,0
16579,2
34484,1
11163,3
12600,0
2294,0
14107,0
17339,1
35450,2
32205,0
18670,1
25829,57
25728,16
18711,13
7912,16
33334,2
23185,43
16281,0
14843,286
19606,22
21548,189
4255,4
34597,0
25689,0
11514,2
21409,3
11351,21
26895,0
5463,3
16133,0
29320,0
29230,1
13562,5
32041,0
3568,0
23818,45
7951,0
30575,1
8015,1
29205,0
13239,8
9567,3
3546,281
9956,6
33014,26
5762,0
27958,5
10848,1
32660,131
26239,5
22344,349
21558,9
35721,5
18600,2
28004,31
20338,1
247,28
17699,4
32006,1
28059,12
10694,76
13458,1
26247,21
36334,1
33264,46
3301,3
29651,0
7480,1
21882,28
26375,0
29809,0
28021,665
4587,7
5474,2
962,36
35484,1
13050,4
18414,5
23736,389
7235,0
26126,10
17083,2
27218,1
16655,1
35084,1
18952,2
22845,1
24196,17
29538,1
22969,10
8407,3
31171,1
21524,1
5731,6
26615,29
4054,2
31199,1
20367,225
27700,227
35373,30
8394,6
10344,70
29956,1
20720,23
23270,8
25413,14
22463,9
24518,32
34264,1
36403,17
35412,12
18055,3
13394,560
13387,0
12408,5
33565,0
15566,1
34260,5
6262,5
1631,5
